OSEBuildingID,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),NumberofBuildings,TotalGHGEmissions,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
33254,95512.0,79507.0,2008.0,4.0,39753.5,217494.5,1.0,116.185,99.0,0.7653523601673303,0.234659971245596,0.0,0.0,6528043.5
33289,16823.0,0.0,1982.0,24.0,0.0,119701.0,0.5,60.165,64.5,1.0000213495382024,0.0,0.0,0.0,8630163.25
33408,4717.0,0.0,1965.0,1.0,0.0,24697.0,1.0,28.895,0.0,0.6668895240873017,0.3331244890636055,0.0,0.0,1293427.875
33527,0.0,0.0,2013.0,1.0,0.0,57468.0,1.5,80.67,0.0,0.611196644454417,0.3888150127499708,0.0,0.0,3238340.75
33548,0.0,0.0,2006.0,5.0,0.0,84000.0,1.0,439.395,0.0,0.37368805755334605,0.6263199015906942,0.0,0.0,12250061.0
34148,5000.0,0.0,2000.0,6.0,0.0,79684.0,1.0,69.255,80.0,0.7023522270173551,0.2976621612465454,0.0,0.0,3344739.875
34248,7875.0,0.0,2004.0,4.0,0.0,22625.0,1.0,27.375,94.0,0.5135760178323924,0.4864342908017334,0.0,0.0,930651.90625
34348,0.0,0.0,1991.0,3.0,0.0,103000.0,1.0,59.74,94.5,0.8027188150257697,0.19729080440726096,0.0,0.0,3716435.25
34891,0.0,0.0,2008.0,1.0,0.0,37864.0,1.0,178.17000000000002,59.0,0.6776597357458071,0.32235467033942145,0.0,0.0,8156275.5
34908,0.0,0.0,1950.0,2.0,0.0,66497.0,1.0,70.845,87.5,0.9795694586676612,0.020449925624649045,0.0,0.0,8950546.0
35391,0.0,0.0,2006.0,4.0,0.0,34010.0,1.0,24.495,4.0,1.0000204548176734,0.0,0.0,0.0,3513842.125
35392,0.0,0.0,2006.0,4.0,0.0,45980.0,1.0,197.9,80.0,0.6370228703195824,0.3629901937430451,0.0,0.0,8343499.5
35431,0.0,0.0,1970.0,5.0,0.0,34728.0,1.0,7.42,42.5,1.0000209886085718,0.0,0.0,0.0,1064553.6565
35436,0.0,0.0,1970.0,5.0,0.0,34480.0,1.0,5.415,81.0,1.000020719359256,0.0,0.0,0.0,776749.40625
36034,0.0,0.0,1996.0,3.0,0.0,45743.0,0.5,88.56,86.5,0.8045229903644102,0.19549425441777912,0.0,0.0,5537907.0
